epoch,date
1,2023-12-27T00:00:00Z
2,2024-01-03T02:00:00Z
3,2024-01-10T02:00:00Z
4,2024-01-17T02:00:00Z
5,2024-01-24T00:00:00Z
6,2024-02-01T00:00:00Z
7,2024-02-07T00:00:00Z
8,2024-02-14T00:00:00Z
9,2024-02-21T00:00:00Z
10,2024-02-28T00:00:00Z
11,2024-03-06T00:00:00Z
12,2024-03-13T00:00:00Z
13,2024-03-20T00:00:00Z
14,2024-03-27T00:00:00Z
15,2024-04-03T00:00:00Z
16,2024-04-10T00:00:00Z
17,2024-04-17T00:00:00Z
18,2024-04-24T00:00:00Z
19,2024-05-01T00:00:00Z
20,2024-05-08T00:00:00Z
21,2024-05-16T00:00:00Z
22,2024-05-22T00:00:00Z
23,2024-05-29T00:00:00Z
24,2024-06-05T00:00:00Z
25,2024-06-12T00:00:00Z
26,2024-06-19T00:00:00Z
27,2024-06-26T00:00:00Z
28,2024-07-03T00:00:00Z
29,2024-07-10T00:00:00Z
30,2024-07-17T00:00:00Z
31,2024-07-24T00:00:00Z
32,2024-07-31T00:00:00Z
33,2024-08-07T00:00:00Z
34,2024-08-14T00:00:00Z
35,2024-08-21T00:00:00Z
36,2024-08-28T00:00:00Z
37,2024-09-04T00:00:00Z
38,2024-09-11T00:00:00Z
39,2024-09-19T00:00:00Z
40,2024-09-26T00:00:00Z
41,2024-10-02T00:00:00Z
42,2024-10-10T00:00:00Z
43,2024-10-17T00:00:00Z
44,2024-10-24T00:00:00Z
45,2024-10-30T00:00:00Z
46,2024-11-06T00:00:00Z
47,2024-11-13T00:00:00Z
48,2024-11-21T00:00:00Z
49,2024-11-28T00:00:00Z
50,2024-12-04T00:00:00Z
51,2024-12-11T00:00:00Z
52,2024-12-18T00:00:00Z
53,2024-12-25T00:00:00Z
54,2025-01-01T00:00:00Z
55,2025-01-08T00:00:00Z
56,2025-01-15T00:00:00Z
57,2025-01-22T00:00:00Z
58,2025-01-29T00:00:00Z
59,2025-02-05T00:00:00Z
60,2025-02-12T00:00:00Z
61,2025-02-19T00:00:00Z
62,2025-02-26T00:00:00Z
63,2025-03-06T00:00:00Z
64,2025-03-12T00:00:00Z
65,2025-03-19T00:00:00Z
66,2025-03-26T00:00:00Z
67,2025-04-02T00:00:00Z
68,2025-04-09T00:00:00Z
69,2025-04-16T00:00:00Z
70,2025-04-23T00:00:00Z
71,2025-05-01T00:00:00Z
72,2025-05-07T00:00:00Z
73,2025-05-14T00:00:00Z
74,2025-05-21T00:00:00Z
75,2025-05-28T00:00:00Z
76,2025-06-04T00:00:00Z
77,2025-06-11T00:00:00Z
78,2025-06-18T00:00:00Z
79,2025-06-25T00:00:00Z
80,2025-07-02T00:00:00Z
81,2025-07-09T00:00:00Z
82,2025-07-16T00:00:00Z
83,2025-07-23T00:00:00Z
84,2025-07-30T00:00:00Z
85,2025-08-06T00:00:00Z
86,2025-08-13T00:00:00Z
87,2025-08-20T00:00:00Z
88,2025-08-27T00:00:00Z
89,2025-09-03T00:00:00Z
90,2025-09-10T00:00:00Z
91,2025-09-17T00:00:00Z
92,2025-09-24T00:00:00Z
93,2025-10-01T00:00:00Z
94,2025-10-08T00:00:00Z
95,2025-10-15T00:00:00Z
96,2025-10-22T00:00:00Z
