epoch,burn_tokens,burn_usd,sma_burns,g_growth,share_T2,share_T3,nodes_T2,nodes_T3,hours_T2,hours_T3,avg_nodes_T2,avg_nodes_T3,avg_hours_per_wallet_T2,avg_hours_per_wallet_T3,avg_hpw_T2,avg_hpw_T3,r2,r3,x2,x3,anchor_prelogic,policy
1,14998.5,75489.99875855217,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,47435.0
2,2630.25,12732.797020229633,,,0.6537611331581226,0.3462388668418775,58.0,104.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
3,3962.0,15907.338648028828,,,0.7237435127745683,0.27625648722543183,61.0,105.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
4,1748.73,7169.613544950536,,,0.7389980604809869,0.26100193951901296,61.0,106.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
5,2858.36,11012.528871177617,,,0.70573919134579,0.29426080865420995,63.0,119.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
6,2732.56,13002.18777103209,,,0.6413803872219205,0.3586196127780795,64.0,123.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
7,3121.57,13646.166272443821,,,0.7236525429272664,0.27634745707273356,63.0,119.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
8,1556.52941296,7763.037722210323,,,0.6693784511228935,0.33062154887710654,62.0,118.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
9,1238.47553436,8231.941354357921,,,0.6953813101632668,0.3046186898367332,62.0,115.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
10,2090.17360561,15535.454236827809,,,0.7204820670445696,0.2795179329554304,63.0,112.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
11,2620.79280108,18702.756563245825,,,0.6629159163176482,0.3370840836823519,64.0,118.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,47435.0
12,1863.95080797,22080.147388263576,3451.824346831667,,0.7453363348790747,0.2546636651209252,62.0,119.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,3451.824346831667,43100.0
13,3552.2446862100005,40878.68265261768,2497.9697373491667,,0.7432314583636104,0.25676854163638957,64.0,121.0,0.0,0.0,62.25,114.91666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,2497.9697373491667,43100.0
14,1760.4553682800001,21170.86891730792,2425.4868513725,,0.7094185458613415,0.29058145413865855,64.0,121.0,0.0,0.0,62.75,116.33333333333333,0.0,0.0,0.0,0.0,,,0.0,0.0,2425.4868513725,43100.0
15,883.3103969600003,11926.219479401963,2168.9293844525,,0.7089922522099111,0.2910077477900888,64.0,121.0,0.0,0.0,63.0,117.66666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,2168.9293844525,43100.0
16,3357.4949795599982,25179.989690721683,2302.9931327491668,,0.7895720102244388,0.2104279897755612,64.0,126.0,0.0,0.0,63.25,119.33333333333333,0.0,0.0,0.0,0.0,,,0.0,0.0,2302.9931327491668,43100.0
17,1246.4188052599998,15058.185847754514,2168.6646998541664,,0.763504238905567,0.23649576109443302,60.0,119.0,0.0,0.0,63.0,119.33333333333333,0.0,0.0,0.0,0.0,,,0.0,0.0,2168.6646998541664,43100.0
18,1211.8778048700003,11802.519798801392,2041.941183593333,,0.79609421322404,0.2039057867759601,63.0,117.0,0.0,0.0,62.916666666666664,118.83333333333333,0.0,0.0,0.0,0.0,,,0.0,0.0,2041.941183593333,43100.0
19,1914.9587122700002,16373.339154313717,1941.3902429491663,,0.7460895505336533,0.25391044946634667,63.0,130.0,0.0,0.0,62.916666666666664,119.75,0.0,0.0,0.0,0.0,,,0.0,0.0,1941.3902429491663,43100.0
20,2104.03389417,22530.507443035276,1987.0156163833333,,0.8182464102985393,0.18175358970146074,63.0,125.0,0.0,0.0,63.0,120.33333333333333,0.0,0.0,0.0,0.0,,,0.0,0.0,1987.0156163833333,43100.0
21,2286.3865163199985,18776.956968320883,2074.341531546667,,0.7244192595756783,0.2755807404243218,63.0,119.0,0.0,0.0,63.083333333333336,120.66666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,2074.341531546667,43100.0
22,1215.0122755899995,13523.657483104578,2001.4114207116663,,0.6973829570715643,0.30261704292843566,65.0,136.0,0.0,0.0,63.25,122.66666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,2001.4114207116663,43100.0
23,1700.8745837100003,19250.592519257887,1924.7515692641664,,0.7570517376516821,0.24294826234831804,64.0,125.0,0.0,0.0,63.25,123.25,0.0,0.0,0.0,0.0,,,0.0,0.0,1924.7515692641664,43100.0
24,3189.0143770100003,31978.3807838868,2035.1735333508332,-0.41040640285799534,0.8272072999096046,0.17279270009039538,62.0,130.0,0.0,0.0,63.25,124.16666666666667,0.0,0.0,0.0,0.0,,,0.0,0.0,1199.9252843365214,35900.0
25,2215.996273540001,21285.07472097017,1923.8194989616666,-0.22984675506789187,0.7686607135966895,0.23133928640331042,63.0,128.0,0.0,0.0,63.166666666666664,124.75,0.0,0.0,0.0,0.0,0.014725568942436373,0.08556925308194341,0.0,0.0,1481.63582978899,35900.0
26,3368.706162219996,29047.8535583943,2057.840398456666,-0.1515763537154593,0.6852412540680992,0.31475874593190073,64.0,133.0,0.0,0.0,63.166666666666664,125.75,0.0,0.0,0.0,0.0,0.006640106241699861,0.08094555873925513,0.0,0.0,1745.920454330237,35900.0
