wallet,tier,newer_node
12rxjvjivxrcbt3ed8eebe3ahnx4zn57qh454ju1riuv,T3,False
13uh4garvpgviphcifcfk6njpekmzblaazfectqldfcl,T3,False
21ic14arqgknihasgihc7oatboaqpaw6q5qnh6texeqe,T3,False
22yqvhvvfbpqxfn7gtvftbts9n6gkuumwm8mkun7mfdy,T2,False
24cvhrb6ud5szfwchsnmtzv9mpre4mcvcd7fpyskiqr1,T3,False
262y3qgig8seaxwutjzfvrptmdepasu4hqcz7jpommhs,T3,False
272kwqf2yxps1pj8m2nyycx9cwezt5f2pgptzhjxoxqb,T3,False
2avfgmrar1zg2tvarjaqfynv3dvxa73lq8xdq7rwhwmt,T3,False
2cjeqppdp4sjqwffqg2tur3d6r8bbecefcjdyz3hk3sc,T2,False
2csz2ydzhaz1kdzqkcnfnd7gjaztcwkcgebrdpq4ted2,T3,False
2dbra6rjxvwnget4zmkm1nst8yafnuj6gxeveecyyeju,T3,False
2gasdpac8qiamjr8hcs18j32yemxxc8ueaz4kjkgojre,T3,False
2gk7n9k6nlmtmx7peizojz8xt41aetbw3h3vzhgu3czm,T3,False
2gqofy3oenvkqywtghwmupipkelzcau1zjz26g9sv5cm,T3,False
2gwauhdbswkkgj673xzdq92f5xygxcbtscs15hvgdvnh,T3,False
2hkrwk4qgzcgqo87s76ww6avnmv12kbhrjwqrhm42h7i,T2,False
2jcv9mhfhfgcjck3qqb7nwsllqszbsvcyzlvbpy9ynhb,T3,False
2lwhtd5znzdsgq9585yokqzvrcqzr7mpgyemdc2vynyq,T2,False
2mmriyk78fmzursuwvdee9hsuuyrdvwd5oyzcdv25ut9,T3,False
2n28uwankmks1m3hhxu8nzpfuchfjanpegecgmgbcfxu,T2,False
2pmyvdar3batgqqakdcafqxcnfibemi9ocpzfr6znqfs,T3,False
2ponmyd7auvqbpod4i9qbnhzcjatzcdrtm6cjh5z7vst,T2,False
2qdoej1fbmazeifeuuv8tezbysohy5zkfaux256rpfbi,T3,False
2r4mxrnfkgxu5ebqvcf4cqdgix9fuqqsjvqcwjgwsfso,T3,False
2s7pxpus6og4bzrhskybljr9xqvxiymchezergohrgzy,T3,False
2sghpbtukx6y7bxeyracurpyfxsmzychbs83bfwmh792,T3,False
